reference_number,pdl_company,complaint_text,complaint_followup,category,amount_requested,amount_paid,age_range,consumer_city,consumer_state,tribe_name,tribe_city,tribe_state,lat,lng
46856143,National Payday Loan,I took out a 300 payday loan from national-paydayloan.com I could not keep up with the payments and have more than paid back the principal on the account but they still are charging me and say I have to pay more and even though they are illegal I. My state they say they can do what they want because they are tribal lending. I asked to have my account settled for what I paid but they refuse.,I think a fair resolution would be to count the account as settled because I have paid a lot more than I have taken out.,illegal,300,,,Columbus,OH,Guidiville Indian Rancheria,Ukiah,CA,39.9611755,-82.9987942
49262364,Boulevard Cash,"tried to initiate a payment agreement with company via email. Company would not work with me refused payment plan. I was not able to finacially fulfill my obligation as arranged informed them, they turned me over to outside collection agency, they called my exhusband and his exwife and their child and told them I was wanted for writing bad checks in which i had never wiritten a check . they threatend to arrest me at work.",,calls|other,,,,Covington,LA,Wakpamni Lake Community of the Oglala Sioux Tribe,Pine Ridge,SD,30.4754702,-90.1009108
50313758,Cash Cloud,"I took out a payday loan from Wakapamni Lake Community Corp dba Dollars2Day and serviced by Cash Cloud. After making several payments I was made aware that they are not licensed in the State of Ohio and that their loan is illegal in my state due to interest rate caps and roll overs. I had paid $402.91 on a $400 loan. I contacted them via email and requested that the loan be considered paid in full, revoked ACH authorization and revoked wage assignment. I also sent the wage assignment via postal mail as indicated in the agreement. I further requested that i not be contacted by phone. They responded to the email threatening lawsuit and arrest for bank fraud so I know it was received. They have called daily for several months in violation of the FDCPA and today I learned that they attempted to use the wage assignment and notified my employer of the debt via fax. In the process, they faxed to another department meaning that people within my organization were made aware of this account that are not involved in payroll.","Originally I just wanted this account closed and considered paid in full for the principal amount I'd paid. Considering their constant pattern of disregard for the FDCPA I'd now like the account paid in full and the $1,000 statutory damages that I'm entitled to for their repeated violations. I am willing to sue them in State court or small claims court if necessary.",illegal|calls,400,402.91,40-49,Dayton,OH,Wakpamni Lake Community of the Oglala Sioux Tribe,Pine Ridge,SD,39.7589478,-84.1916069
45168294,"Golden Valley Lending, Inc.","To Whome It May Concern:<br/><br/>Upon researching payday loan laws in the state of North Carolina, I have found that yor Internet payday loans are illegal. Your company should not issue loans to North Carolina residents at all. I have contacted the North Carolina Ofice of Financial Institutions and they North Carolina State Attorney General's Office regarding your Internet payday loans and was informed they are indeed illegal in North Carolina and was advised to pay what is due according to principle amount only of the loan. To date, I have paid $2056.25 on my $700.00 loan. The legal amount that could have been charged to my loan is the principal amount of $700.00 even if oyur Internet pay day loan was legal in California. Since I have paid $2,056.00 on this loan by your debits of my bank account and have this paid in full. I demand that you mark my account Paid in Full and send me a refund of $1,356.25. I demand that all contact be made through email only at: <span class=""redacted"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span>. I will need everything in writing to keep accurate records of all communication as per instruction from my State Attorney General's Office. I prohibit you or your affiliates to contact me via telephone at my place of employment or my home telephone number. I also prohibit you from calling my references listed on my loan. Once I inform you of this, you must stop the telephone contact immediately or you will be once again breaking the laws of the state of North Carolina. You are also hereby notified that I am revoking any voluntary wage assignment I may or may not have signed. I no longer authorize you, your company, or your affiliates to attach any part of my wages or contact my employer for your collection purposes. I am revoking your right to debit my checking account any longer. You, your company, or your affiliates are not authorized to debit my checking account at all. Please be aware that I have informed my financial institution of this situation and they will also be receiving a copy of this correspondence. Any further attemps at debiting my account will be rejected by my financial institution. I must also inform you that I have filed complaints with the Better Business Bureau, the Federal Trade Commission, and my state Attorney General's Office. I expect a response from your company no later than February 26, 2013 regarding this matter. This response may only come via email. No telephone contact is permitted. Please respond by Februrary 26, 2013 regarding this matter by email only. Since I have paid $2,056.00 on this loan by your debits of my bank account and have this paid in full, I demand that you mark my account Paid in Full and send me a refund of $1,356.25.",,illegal,,,,Durham,NC,Habematolel Pomo of Upper Lake,Upper Lake,CA,35.9940329,-78.898619
50768663,Harvest Moon Loans,"I took out a loan with Harvestmoon loans.com on may 20, 2013 for $500.00. Since that time they have withdrew $2,090.58 from my checking account. Plus over 200.00 which my wellsfargo is trying to stop since I had asked them to stop payments. Harvest moon loans has not applied anything to my principal. They have been charging me 231.90 every 2 weeks for interest charged. This is against minnesota law and they are not licensed in minnesota. When I asked them on the phone the girl laughed me and told me they don't need to follow any law.",Have them follow minnesota laws. I'd love money back however to have them put this account as paid would be fine. I do not want them to ever take money out of my account again.,illegal|fees,,,50-59,Edina,MN,La Posta Band of Mission Indians,Boulevard,CA,44.8896866,-93.3499489
45554361,Silver Cloud Financial,I had to take out a payday advance and then due to circumstances I was unable to pay so I contacted a payday support center who is investigating the matter and sent paperwork to silver cloud financial also known as usa money shop for additional info. According to silver cloud as of today when they called me at work and threatened to call my human resources that they nevec rprpiwprt anything from the support center. I then called the payday support center 800 920 4631 client numbeij (b)(6)   ind I was informed to contact you and that paperwork was submitted to them a while ago and she wouia ao it again.silver cloud representative was extremely rude and refused to give me a call back number and or her name,,calls,2000,,50-59,Edison,NJ,Habematolel Pomo of Upper Lake,Upper Lake,CA,40.5187154,-74.4120953
49310374,National Payday Loan,I took out a payday loan and could not pay it back now they are faxing papers over to every department in my job with my personal information to do a volunteer wage withholding after I told them that I was not nothing that. they will not stop faxing stuff over and I want it to stop.,,other,,,,Elgin,SC,Guidiville Indian Rancheria,Ukiah,CA,34.1709826,-80.794252
47299380,Boulevard Cash,Several different people from the company have emailed and called me from different numbers.,,calls,390,810,,Evansville,IN,Wakpamni Lake Community of the Oglala Sioux Tribe,Pine Ridge,SD,37.9715592,-87.5710898
44493005,Boulevard Cash,"In November of 2012 I took a loan with ""Boulevard Cash"" via their web site for $500. The funds were deposited, however they never withdrew their payments from the account designated for payments to be withdrawn from, which is the same account they deposited the funds in. The account the payments were to come from was the same the account the loan was deposited to. I was told when I contacted them, if they had the account information to deposit they had the information to withdraw. The payments were never withdrawn and I made no further attempts to contact them. They had the information, I had contacted them after they failed to take the payment. I felt I had no further duty to administer their loan payments for them after giving them permission and information need to both deposit and withdraw funds and i would hear from them when they finally decided to take care of this. I was finally contact via phone by someone to collect payments on the loan. However, I have problems with their process and procedures: 1) They never verified their identity and or their valid claim, in fact they had key information incorrect. I requested a letter or email stating who they were and details on amount owed to clear this up. I never received confirmation that the caller in fact represented them. I contacted the lender directly to verify the collection attempt and received no response. I have no idea who these people really are on the phone or their authorization to receive payments on behalf of the lender. 2) The caller left messages claiming there were ""charges against me"" and arrest and criminal prosecution in my ""local court"" if they were not called back and paid immediately. 3) During conversations with them they continued to state there were ""charges filed"" and service of process for civil claims (filed in my ""local court"" related to this loan. (they have my address to serve me , moreover per the terms of the loan both parties specifically waive court actions and limit resolution to arbitration.) 4) Being accused of ""fraud in the inducement"", when in fact the issue is incompetence in the administration of the loan and collection attempt on their part. They had the deposited to the same account as the funds were to be withdrawn from and made no attempt to with draw the payments even after I called them. They obviously made an administrative error, the account is still open, active and no information has changed. In fact I contacted them to question their failure to withdraw payments and to verify the authorization of the caller to act on their behalf.","I would like them to verify their authorization to act on behalf of the creditor, stop the nonsense threats of charges and prosecution. I would like a clearly stated explaination of how much they feel they are owed to resolve this and who is authorized to recieve payment.",other|calls,500,,,Fairfax,VA,Wakpamni Lake Community of the Oglala Sioux Tribe,Pine Ridge,SD,38.8462236,-77.3063733
50703847,"Golden Valley Lending, Inc.","The consumer's complaint was forwarded to us by the CA State AG. He received a $600 from Golden Valley Lending, Inc. He's paid them $210 via his Wells Fargo account so far, but has realized that it is illegal to have 30% interest rates on loans in CA. He wants the contract ended.",,illegal,210,210,,Fairfax,CA,Habematolel Pomo of Upper Lake,Upper Lake,CA,37.9871454,-122.5888686
45886734,Gentle Breeze Enterprise,I took out a loan with this company for $300.00 and they have debited almost 1400.00 out of my checking account and they stated that amount has not went towards the loan. A representative stated I would still have to pay the 437.07 in order to settle the loan. In the contract it does not say they will debit 139.00 out of my checking account every two weeks until the amount is paid in full. They have been debiting funds out of my account twice a month since 11232012. In my contract it clearly states the principal and interest is 302.07 and the service fee is 135.00 with a total payment of 437.07. The section where it says promise to pay the agreement amount of principal sum 300.00 plus interest and fees of 137.07. I have clearly paid the amount asked plus the 3x the amount owed. I told the company I did not want them to debit anymore funds from my account.,,fees,437,1400,,Granite City,IL,La Posta Band of Mission Indians,Boulevard,CA,38.7014389,-90.1487199
44608702,Fast Money Store,I took out a $400 loan and have paid $510.67 and they are trying to take another $346.67.I have already overpaid by almost 111.00. They are threatening to sue me for fraud even though I have overpaid the loan.,,fees,857,510,,Greenwood,IN,Wakpamni Lake Community of the Oglala Sioux Tribe,Pine Ridge,SD,39.6136578,-86.1066526
51490398,Harvest Moon Loans,I have on several occasions gone to Harvest Moon Loans website and have tried to log in to my account to no avail. I have requested a password change to be sent to me on several occassions with not response. I have emailed customer service to send me a new password. I want a copy of my loan documents as they are deducting payments on days I do not get paid and are causing me overdraft fees. When you call their toll free number you are placed on hold and told they 'are experiencing a high volumn of calls and wait in longer then 10 minutes' then phone disconnect you. I want a password and want copies of my loan documents.,I want a copy of my loan documents that I signed and new password sent to my email,other,,,,Henderson,NV,La Posta Band of Mission Indians,Boulevard,CA,36.0395247,-114.9817213
51079683,Mountain Summit Financial,"I have receive 3 to 5 emails from Mountainsummit financial on Dec.26,2013.Congratulating me that Mountain Summit has approved my loan and that the funds were being sent to my bank.Before this emails on the same date they had sent me one say ""dear matha ,your have been approved .Before we can put money into your account we need to verify your information . We have tried to contact you but have been unable to reach you."" All I did just delete the emails,because I had not request any loan from them. Then when I receive my statement from my bank. I notice a deposit of S600.00 was made.on 12/27/2013. Since I keep a low balance of $25 on my acct:l went to my bank to investgate.Bank inform me,that MOUNTAIN SUMMIT FINANCIAL had made a deposit of $600.00. On 1/10/2014 the company deduct $210.00 for services.I call them to tell that I didn't request this loan and they inform that I have done this electronically . I have ask for prove of sign papers and they said they cannot send me any papers. Because this transaction was done electronically.They want me to pay them or if don't it will accummulate interest on the amount $390.00.1 didn't request any loan from this company.1 don't know how they got my identity 1 feel this is theft.","I would like to have a refund of $371.07, or simply deduct my charge of $200 principle plus fee from this amount and credit the remainder to my bank account that you have on file.",did not apply,600,390,60-64,Irving,TX,Habematolel Pomo of Upper Lake,Upper Lake,CA,32.8140177,-96.9488945
47551859,Gentle Breeze Loan,"Consumer applied for an loan online and then recieved a call from Gentle Breeze loan. She was told that she was approved to get a loan for $15,000. She was told that her money could be deposited to her account in 30 minutes. She was told that she needed to get prepaid card for $400. She then recieved a call telling her that she needed to pay taxs on the loan and needed another $420. She then was told that a processing fee of $150 was needed and then another $100 for the transfer fee. She still had not recieved her Ion yet. She as told that she had to pay $2500 becuase her ss number had been used to get a loan.",,fees,1070,1070,40-49,Kissimmee,FL,La Posta Band of Mission Indians,Boulevard,CA,28.2919557,-81.407571
49367453,Golden Valley Loans,"I received a call at my work on Tuesday, October 29, 2013 from Kelly a customer service rep from Golden Valley stating that attempts to retrieve payment for a loan of $800.00 via ACH were being rejected and they wanted to make arrangements to cover the payment. When I told her that I had never appled for or to my knowledge received a loan from them, she proceeded to iform me that $800.00 had been deposited into my First Financial Credit Union Account on September 23, 2013 after I allegedly applied via telephone (She quoted my home phone number as well.Since I had done no such thing, I took her number, called the Credit Union and found that indeed there had been a deposit into my checking account at that time. This is an account that I have set up for some bills to be taken out monthly; one that I rarely use and if I'm notice at the ATM that there is a balance, I occassionally will draw from it. It had been merged into my existing funds and I'm ceratin at some point used by me. I notified Golden Valley that I had NOT applied for a loan, but would be willing to replace the monies I had unknowingly taken out. After I made arrangements for the collection, I called my credit union back, and they suggested that I close the account and open up a new one. Even though I have not done so yet, I believe my personal information has been fraudulently accessed and that something must be done about it. Please advise on next steps.",,did not apply,,1200,60-64,Los Angeles,CA,Habematolel Pomo of Upper Lake,Upper Lake,CA,34.0522342,-118.2436849
49594940,Boulevard Cash,Consumer had obtained a payday loan with Boulevard Cash. She found out that they were not licensed and made a report in Tennesse. They sent her a letter telling her that is was a Tribal lending agency. Consumer got a loan $350 and is being asked to pay $105 every month. She states that the payment date is moved.,,other,300,400,30-39,Memphis,TN,Wakpamni Lake Community of the Oglala Sioux Tribe,Pine Ridge,SD,35.1495343,-90.0489801
50751298,Boulevard Cash,"On October 1, 2013 I took out a second loan from Boulevard Cash. The first loan was paid off in two payments. However, the loan application information is not showing the original loan date. The date keeps changing like I'm taking out a new loan. This is not the correct agreement date. Where is the original application for October 1, 2013? Is this forgery? Please, see the attached application. The original loan date was October 1, 2013 and not October 28, 2013.",No fees,other,,,30-39,Memphis,TN,Wakpamni Lake Community of the Oglala Sioux Tribe,Pine Ridge,SD,35.1495343,-90.0489801
50372129,Gentle Breeze Online Loans,I received a called that I was approved for a 10000.00 personal loan. I requested 10000. A income verification was requested through the Vanilla Reload network Card. They verified and stole my 500.00 then denied my loan unless I can deposit 250.00 more dollars for the voucher. Because I did not have 200.00 more dollars they closed my application and stole my 500.00. SCAM Beware!!!!!,,fees,,500,40-49,Miami,FL,La Posta Band of Mission Indians,Boulevard,CA,25.7890972,-80.2040435
50389864,National Payday Loan Services,"I was trying to get a loan before the holidays, just so would be able to give my 3 sons (7, 8 and 11 months) a very merry Christmas. I was talking to Sean the telemarketer about a loan. First I found a website forloan and filled outsome online applications. National Payday Loan Services called me and said I was approved for up to three thousand, l only wanted two thousand. I agreed. They first asked for 190 dollars for processing fees. Then they wanted another 250 for more fees. Once I payed that they transfered me to the PTI department. Which I was told they were they department that turned the unsecured loan to a secured loan. They asked for 255 dollars. So now I'm up to 695. Finally I thought I was getting somewhere. Then when the funds were suppose to get transfered into my checking account.they There Bank said my bank wound accept a transfer of no less then $3200. That's a difference of 505. Now they said I have to pay the 505 to get the loan. They also told my I would get back all of they money I had to pay. I didn't think much of it at that time. Well I payed the $505 and nothing still. Now the excuse was there was a block one there end to transfer the money into my account. Then they told me they could bring a check directly to my house. Which entiteled me to pay another $200. Now I'm in the hole $1300. Now I' m broke. Everytime I call an try to talk to them. I get nothing. Everytime I use diferent phone and try to talk they hang up on me and block my calls from those phones. Please help me",,fees,1300,1300,30-39,Milliken,CO,Guidiville Indian Rancheria,Ukiah,CA,40.3294268,-104.85525
46926155,Boulevard Cash,"The consumer is getting threaten collection calls and text messages from a payday lenders Blvd Cash and Check Advanced USA. They are threaten legal action agianst the consumer. Suggested they speak to their State AG Office. UPDATE: 07/09/2013 The consumer called to report that she received a messaged from the same company threatening legal action, ccabell UPDATE 07/23/2013: Consumer states that Check Advanced USA has continued to contact her at her place of employment.",,calls,200,,50-59,Mobile,AL,Wakpamni Lake Community of the Oglala Sioux Tribe,Pine Ridge,SD,30.6953657,-88.0398912
50750886,Fast Money Store,"In July 2013 I applied for and was approved for a loan with the aforementioned company under the name ""fast money store"" aka ""cash cloud"". The parent company is Wakpamini Lake Community Corporation. When the funds were not received in my checking account after all requirements were met, I inquired about the status of the loan and discovered that the money had been deposited into another account that does not belong to me. However, when I applied for the first loan, paid back in full by me, and the second loan, my online applications included my checking account routing and account number with GNO Federal Credit Union. Through emails I informed them that the money was deposited into an account that did not belong to me and I was informed the loan would be cancelled when the money returned to them, which apparently never happened. Because I received no help from them with this matter, and because I had access to the account information, which was attached to my name, on 8/23/13 I called the fraud department with US Bank, the financial institution for the account in question and discussed this matter with Tamara. She verified for me that the account information I gave to her was an active account with their bank and further verified that it did not belong to me nor was I an authorized user. I asked for documentation from Tamara to provide to the loan company but she told me that because I was not a customer, she could not file a fraud complaint nor provide me anything in writing. After further discussion with Tamara about this matter, she informed me that her supervisor, Geneva Blackburn, informed her that the loan company could call with my name and/or social security number and they would verify with them verbally that this was not my account nor was I an authorized user. I sent a detailed email to the loan company informing them of this since I could not provide written proof but I did not receive any response. I emaied again verifying that I sent the detailed information to rectify this problem and received no response and to date have received no response. Within my account with the loan company, this loan <span class=""redacted"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span> is still showing as an active loan for me with multiple failed attempts to ACH withdraw the money from the account the money was deposited into.",Contact US Bank as I did and verify that the account does not belong to me nor am I an authorized user and remove this loan from my account history with fast money store,other,,,40-49,New Orleans,LA,Wakpamni Lake Community of the Oglala Sioux Tribe,Pine Ridge,SD,29.9510658,-90.0715323
47962341,National Payday Loan,I am currently working with pdlr consolidation company to payoff my loans the have contacted dbanational payday loan to make arrangement but never responded to their request. They also on 0828 submitted requasted for wage assignment to my employer which is not legal and dont have cour order. My consolidation company is trying to make arrangement with them but never received response from them..,,other,562,132,,Newington,CT,Guidiville Indian Rancheria,Ukiah,CA,41.6972996,-72.7228293
45463755,Fast Money Store,"I obtained a short term ""payday loan"" through this company. After obtaining this note it came to my attention that these types of notes are illegal in my state. I immediately contacted the company, which was at least 2 weeks before the installment note was due, stating the information I had obtained and that I would like a mailing address to which I could mail a payment as I would not allow them to withdraw and have access to my bank account any longer. I received no correspondence from the company until the time at which they determined my account to be past due because the payment had been sent back by my bank. I contacted the company yet again regarding my account and asked for a mailing address and have received nothing but rude responses back. In the initial email the representative insinuated that I was committing fraud and that my wages would be garnished and credit affected because of this. I originally stated that I would repay the principal amount only as this is an illegal note, however after discussion with the representative via email I agreed to pay the original amount due but only via money order. I was told they would not accept payment via money order. I received a phone call the next day from an unknown company stating that they were submitting a wage assignment to my employer that day. This was never authorized and I contacted my employer to make them aware of this fact. Since then I receive phone calls daily, multiple times a day. After emailing again and asking that they no longer contact me via phone, only through email or USPS I was told they would ignore this and they did not have to abide by this request. I have received 3 phone calls today, the day after asking that they no longer call, one of them almost immediately after I received an email back saying they didnt have to listen to my request that they no longer call. Almost as if to taunt me. I have been in contact with the Florida Department of Financial Regulation as well as the Attorney Generals office for the State of Florida. Per their advice I have closed my bank account and tried to ensure all contact with the company is in writing.",,illegal|calls,500,,,Orlando,FL,Wakpamni Lake Community of the Oglala Sioux Tribe,Pine Ridge,SD,28.5383355,-81.3792365
47653055,Boulevard Cash,I believe they acted in a predatory manner by continually allowing me to take advances and illegally giving me loans. I took out many payday loans from Boulevard and the fees are so high that I had to close my account. I cannot afford to pay them.,,other,929.5,,,Parma,OH,Wakpamni Lake Community of the Oglala Sioux Tribe,Pine Ridge,SD,41.4047742,-81.7229086
45811685,National Payday Loan,"they threaten to garnish my wages without court order, <span class=""redacted"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span> said they documents to my employer, and no court order was necessary, i agreed to make my arrangements, she said no they do not take payments arrangements, she said this information was on the loan documents that i signed, i told her i did not see this information, she said it did not matter, they were still garnish my wages without court order.",,other,306,,,Raytown,MO,Guidiville Indian Rancheria,Ukiah,CA,39.0086171,-94.4635638
